KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
2868,Børnehuset Det Røde Hjørne,57%,,,,30,160,6,,https://detroedehjoerne-kk.aula.dk/sites/detroedehjoerne-kk.aula.dk/files/arkiv/Download_filer/P%C3%A6dagogisk%20l%C3%A6replan_1.pdf
2869,Børnehuset Villa Bohème,51%,,,,,,,,
2991,Bag Elefanterne,65%,8,5,,13,86,7,,https://www.ofir.dk/resultat/bag-elefanterne-soeger-paedagog-som-braender-for-boernehavelivet-330816978.aspx?jobId=330816978
3045,Børnebyen Vandværket,38%,,,,,,,,
3046,Sandslottet,55%,,,,,80,,,https://pasningogskole.kk.dk/institution/4000239/vuggestuen
3047,Multiverset,57%,,,,,142,,"55.72179985273875, 12.556021309953076 ",https://simplyjob.com/520266/kbenhavns-kommune/paedagog-til-en-brnehavegruppe-i-multiverset-barselsvikar
3048,Børnehuset Støberigade,51%,4,2,Ja,6,44,7,"55.69500368278589, 12.522659559956898 ",https://stoeberigade-kk.aula.dk/stoeberigade/boernehaven
3055,Forfatterhuset,71%,22,13,,35,167,5,"55.655687902850225, 12.48725030996067",https://forfatterhuset-kk.aula.dk/om-os/info-om-forfatterhuset
3068,Børnehuset Vesterbro,55%,,,,21,108,6,"55.667994042825796, 12.513054989957991 ",https://boernehusetvesterbro-kk.aula.dk/personale-og-stuer
3125,Damperen,57%,22,11,,33,172,6,"55.86316582255901, 12.506755639958234 ",https://damperen-kk.aula.dk/om-os/hvem-er-vi
3265,Børnehuset Emdrup/Søgård,57%,,,,,,,,
3472,Hulahophuset,74%,16,8,,24,136,6,"55.72406298273279, 12.564926219952019 ",https://hulahophuset-kk.aula.dk/velkommen-til-hulahophuset-0
3473,Vestre Teglgade,56%,,,,10,72,8,,https://www.ofir.dk/resultat/omsorgsfuld-og-fagligt-dygtig-paedagog-til-vores-fantastiske-boernehave-boernehuset-vestre-teglgade-330394994.aspx?jobId=330394994
3498,Børnehuset Tusindfryd,51%,3,2,,5,44,9,"55.64783348284658, 12.535276399955622 ",
3951,Lykkebo - Vuggestue og Børnehave,57%,,,,,,,,
3956,Humlehuset,68%,8,4,,12,85,8,"55.667800022797884, 12.601141989947644 ",https://simplyjob.com/551567/kbenhavns-kommune/humlehuset-i-valby-sger-paedagogisk-personale
3960,LilleArena,60%,,,,,,,,
3966,Børnehuset Mundi,67%,,,,,,,,
4162,Nokken,46%,,,,,,,,
4504,Stjernehimlen,52%,,,,,,,,
4774,Børnegården Frederiksholm,43%,,,Ja,12,48,4,"55.652190, 12.532400",https://docplayer.dk/36399165-Velkommen-til-boernegaarden-frederiksholm-vuggestuen.html
4846,Dronning Louise,62%,,,,,,,,
5272,Børnehuset Håbets Allé - Børnehave,70%,1,2,,3,22,8,"55.66553687282417, 12.529564239956214 ",https://simplyjob.com/536609/kbenhavns-kommune/brnehuset-hbets-all-i-brnshj-sger-en-initiativrig-og-struktureret-paedagog
5275,Børnehuset Joanna,60%,,,,,,,,
5570,Grøndalen,58%,30,15,,45,240,6,"55.77433276267312, 12.535018169955364 ",https://groendalen-kk.aula.dk/om-os/om-os
5681,Himmeltræet,45%,,,,,,,,
5703,Isbjørnen,48%,24,18,,42,138,4,"55.667994042825796, 12.513054989957991 ",https://pasningogskole.kk.dk/institution/4000545/vuggestuen
5744,Børnehuset Jorn,56%,,,,30,170,6,"55.619818852873806, 12.570047169951662 ",https://simplyjob.com/551578/kbenhavns-kommune/profilinstitutionen-idraetsbrnehuset-jorn-sger-en-paedagog-og-en-barselsvikar
5820,Børnehuset Sluseholmen/Rymarksvej,45%,,,,,,,,
5849,Langhuset,50%,,,,,,,,
5902,Børnehuset i Sydhavnen,40%,,,,,36,,,
6018,Æblekassen,37%,,,,35,180,6,,https://aeblekassen-kk.aula.dk/sites/aeblekassen-kk.aula.dk/files/arkiv/Download_filer/P%C3%A6dagogisk%20l%C3%A6replan%20og%20evaluering%20VVK%20C%20%C3%86blekassen%202021.pdf
6019,Vandkanten,39%,,,,,,,,
6029,Børnehuset Else,58%,,,,,,,,
6030,Topstykket,42%,,,,,,,,
6034,Olympia,60%,7,4,,11,48,5,"55.70191385276709, 12.55272761995351 ",https://simplyjob.com/330935/kbenhavns-kommune/vuggestuepaedagog-til-olympia
6099,Børnehuset Bodil,46%,,,,,,,,
6182,Børnehuset Den Gule Hat,62%,,,,,,,,
